Rodada,Time,Posicao,Pontos,Jogos,Vitorias,Empates,Derrotas,GP,GC,SG
24,Fortaleza,1,48,23,14,6,3,30,20,10
24,Botafogo,2,47,24,14,5,5,41,24,17
24,Palmeiras,3,44,24,13,5,6,36,19,17
24,Flamengo,4,44,23,13,5,5,38,26,12
24,São Paulo,5,41,24,12,5,7,33,24,9
24,Bahia,6,39,24,11,6,7,33,25,8
24,Cruzeiro,7,37,23,11,4,8,31,25,6
24,Atlético-MG,8,30,22,7,9,6,29,31,-2
24,Athletico-PR,9,29,21,8,5,8,25,24,1
24,Vasco,10,28,22,8,4,10,26,33,-7
24,Internacional,11,28,20,7,7,6,19,18,1
24,Juventude,12,28,23,7,7,9,28,32,-4
24,Grêmio,13,27,22,8,3,11,21,25,-4
24,Bragantino,14,27,22,7,6,9,27,28,-1
24,Criciúma,15,25,22,6,7,9,30,33,-3
24,Fluminense,16,24,23,6,6,11,18,26,-8
24,Vitória,17,22,24,6,4,14,26,38,-12
24,Corinthians,18,22,24,4,10,10,20,30,-10
24,Cuiabá,19,18,22,4,6,12,21,34,-13
24,Atlético-GO,20,18,24,4,6,14,20,37,-17
23,Botafogo,1,46,23,14,4,5,41,24,17
23,Fortaleza,2,45,22,13,6,3,29,20,9
23,Palmeiras,3,41,23,12,5,6,31,19,12
23,Flamengo,4,41,22,12,5,5,36,25,11
23,Bahia,5,38,23,11,5,7,33,25,8
23,São Paulo,6,38,23,11,5,7,31,23,8
23,Cruzeiro,7,37,22,11,4,7,31,24,7
23,Atlético-MG,8,30,21,7,9,5,29,29,0
23,Athletico-PR,9,29,21,8,5,8,25,24,1
23,Vasco,10,28,22,8,4,10,26,33,-7
23,Juventude,11,28,22,7,7,8,27,30,-3
23,Bragantino,12,27,21,7,6,8,26,26,0
23,Internacional,13,25,19,6,7,6,18,18,0
23,Criciúma,14,25,21,6,7,8,30,32,-2
23,Grêmio,15,24,21,7,3,11,20,25,-5
23,Vitória,16,22,23,6,4,13,25,36,-11
23,Corinthians,17,22,23,4,10,9,20,29,-9
23,Fluminense,18,21,22,5,6,11,16,26,-10
23,Cuiabá,19,18,21,4,6,11,21,29,-8
23,Atlético-GO,20,15,23,3,6,14,18,36,-18
22,Botafogo,1,43,22,13,4,5,37,23,14
22,Fortaleza,2,42,21,12,6,3,27,19,8
22,Flamengo,3,41,21,12,5,4,35,21,14
22,Palmeiras,4,38,22,11,5,6,29,18,11
22,São Paulo,5,38,22,11,5,6,30,21,9
22,Cruzeiro,6,36,21,11,3,7,29,22,7
22,Bahia,7,35,22,10,5,7,31,25,6
22,Athletico-PR,8,29,20,8,5,7,24,22,2
22,Atlético-MG,9,29,20,7,8,5,28,28,0
22,Vasco,10,27,21,8,3,10,24,31,-7
22,Bragantino,11,27,20,7,6,7,25,24,1
22,Internacional,12,25,18,6,7,5,18,17,1
22,Juventude,13,25,21,6,7,8,25,29,-4
22,Grêmio,14,24,20,7,3,10,20,23,-3
22,Criciúma,15,24,20,6,6,8,28,30,-2
22,Vitória,16,21,22,6,3,13,23,34,-11
22,Corinthians,17,21,22,4,9,9,20,29,-9
22,Fluminense,18,20,21,5,5,11,16,26,-10
22,Cuiabá,19,17,20,4,5,11,20,28,-8
22,Atlético-GO,20,12,22,2,6,14,17,36,-19
21,Botafogo,1,43,21,13,4,4,35,20,15
21,Flamengo,2,40,20,12,4,4,34,20,14
21,Fortaleza,3,39,20,11,6,3,26,19,7
21,Palmeiras,4,37,21,11,4,6,28,17,11
21,Cruzeiro,5,35,20,11,2,7,29,22,7
21,São Paulo,6,35,21,10,5,6,29,21,8
21,Bahia,7,32,21,9,5,7,29,25,4
21,Athletico-PR,8,28,19,8,4,7,22,20,2
21,Atlético-MG,9,28,19,7,7,5,28,28,0
21,Bragantino,10,26,19,7,5,7,24,23,1
21,Vasco,11,24,20,7,3,10,22,31,-9
21,Internacional,12,24,17,6,6,5,16,15,1
21,Criciúma,13,24,19,6,6,7,28,29,-1
21,Juventude,14,22,20,5,7,8,22,27,-5
21,Grêmio,15,21,19,6,3,10,17,22,-5
21,Vitória,16,21,21,6,3,12,23,32,-9
21,Fluminense,17,20,20,5,5,10,16,24,-8
21,Corinthians,18,20,21,4,8,9,19,28,-9
21,Cuiabá,19,17,19,4,5,10,19,25,-6
21,Atlético-GO,20,12,21,2,6,13,17,35,-18
20,Flamengo,1,40,19,12,4,3,34,19,15
20,Botafogo,2,40,20,12,4,4,31,19,12
20,Palmeiras,3,36,20,11,3,6,27,16,11
20,Fortaleza,4,36,19,10,6,3,24,18,6
20,Cruzeiro,5,35,19,11,2,6,28,20,8
20,São Paulo,6,32,20,9,5,6,28,21,7
20,Bahia,7,32,20,9,5,6,29,24,5
20,Athletico-PR,8,28,18,8,4,6,22,18,4
20,Atlético-MG,9,28,18,7,7,4,27,26,1
20,Bragantino,10,25,18,7,4,7,22,21,1
20,Vasco,11,23,19,7,2,10,20,29,-9
20,Internacional,12,23,16,6,5,5,15,14,1
20,Criciúma,13,21,18,5,6,7,26,28,-2
20,Juventude,14,21,19,5,6,8,21,26,-5
20,Corinthians,15,19,20,4,7,9,18,27,-9
20,Grêmio,16,18,18,5,3,10,15,22,-7
20,Vitória,17,18,20,5,3,12,22,32,-10
20,Cuiabá,18,17,18,4,5,9,19,24,-5
20,Fluminense,19,17,19,4,5,10,15,24,-9
20,Atlético-GO,20,12,20,2,6,12,16,31,-15
19,Botafogo,1,40,19,12,4,3,31,16,15
19,Flamengo,2,37,18,11,4,3,32,19,13
19,Palmeiras,3,36,19,11,3,5,27,14,13
19,Fortaleza,4,33,18,9,6,3,23,18,5
19,Cruzeiro,5,32,18,10,2,6,25,20,5
19,São Paulo,6,32,19,9,5,5,28,20,8
19,Bahia,7,31,19,9,4,6,28,23,5
19,Athletico-PR,8,25,17,7,4,6,20,17,3
19,Bragantino,9,25,17,7,4,6,22,20,2
19,Atlético-MG,10,25,17,6,7,4,25,25,0
19,Vasco,11,23,18,7,2,9,20,28,-8
19,Internacional,12,22,15,6,4,5,14,13,1
19,Juventude,13,21,18,5,6,7,20,24,-4
19,Corinthians,14,19,19,4,7,8,17,25,-8
19,Criciúma,15,18,17,4,6,7,24,27,-3
19,Cuiabá,16,17,17,4,5,8,18,22,-4
19,Grêmio,17,15,17,4,3,10,14,22,-8
19,Vitória,18,15,19,4,3,12,20,32,-12
19,Fluminense,19,14,18,3,5,10,14,24,-10
19,Atlético-GO,20,12,19,2,6,11,16,29,-13
18,Botafogo,1,39,18,12,3,3,29,14,15
18,Palmeiras,2,36,18,11,3,4,27,13,14
18,Flamengo,3,34,17,10,4,3,30,18,12
18,Fortaleza,4,33,18,9,6,3,23,18,5
18,São Paulo,5,31,18,9,4,5,26,18,8
18,Bahia,6,30,18,9,3,6,27,22,5
18,Cruzeiro,7,29,17,9,2,6,23,20,3
18,Athletico-PR,8,25,17,7,4,6,20,17,3
18,Bragantino,9,25,17,7,4,6,22,20,2
18,Atlético-MG,10,25,17,6,7,4,25,25,0
18,Vasco,11,23,18,7,2,9,20,28,-8
18,Internacional,12,22,15,6,4,5,14,13,1
18,Juventude,13,21,17,5,6,6,20,22,-2
18,Criciúma,14,18,17,4,6,7,24,27,-3
18,Corinthians,15,18,18,4,6,8,15,23,-8
18,Cuiabá,16,17,17,4,5,8,18,22,-4
18,Vitória,17,15,18,4,3,11,19,30,-11
18,Grêmio,18,14,16,4,2,10,12,20,-8
18,Fluminense,19,11,17,2,5,10,13,24,-11
18,Atlético-GO,20,11,18,2,5,11,15,28,-13
17,Botafogo,1,36,17,11,3,3,28,14,14
17,Palmeiras,2,33,17,10,3,4,25,13,12
17,Flamengo,3,31,16,9,4,3,28,17,11
17,São Paulo,4,30,17,9,3,5,26,18,8
17,Bahia,5,30,17,9,3,5,27,21,6
17,Fortaleza,6,30,17,8,6,3,20,17,3
17,Cruzeiro,7,29,16,9,2,5,23,18,5
17,Athletico-PR,8,25,16,7,4,5,20,16,4
17,Vasco,9,23,17,7,2,8,20,26,-6
17,Internacional,10,22,14,6,4,4,14,12,2
17,Bragantino,11,22,16,6,4,6,21,20,1
17,Atlético-MG,12,22,16,5,7,4,23,25,-2
17,Juventude,13,20,16,5,5,6,20,22,-2
17,Criciúma,14,18,16,4,6,6,23,25,-2
17,Cuiabá,15,17,16,4,5,7,18,21,-3
17,Vitória,16,15,17,4,3,10,19,28,-9
17,Corinthians,17,15,17,3,6,8,14,23,-9
17,Grêmio,18,11,15,3,2,10,10,20,-10
17,Atlético-GO,19,11,17,2,5,10,14,25,-11
17,Fluminense,20,8,16,1,5,10,12,24,-12
16,Botafogo,1,33,16,10,3,3,27,14,13
16,Palmeiras,2,33,16,10,3,3,25,12,13
16,Flamengo,3,31,16,9,4,3,28,17,11
16,Bahia,4,30,16,9,3,4,26,19,7
