Rodada,Mandante,Visitante,Data
25,Cuiabá,Criciúma,31/08
25,Botafogo,Fortaleza,31/08
25,Cruzeiro,Atlético-GO,01/09
25,Grêmio,Atlético-MG,01/09
25,Corinthians,Flamengo,01/09
25,Athletico-PR,Palmeiras,01/09
25,Vitória,Vasco,01/09
25,Fluminense,São Paulo,01/09
25,Bragantino,Bahia,01/09
25,Juventude,Internacional,01/09
26,Internacional,Cuiabá,15/09
26,Cruzeiro,São Paulo,15/09
26,Bahia,Atlético-MG,15/09
26,Flamengo,Vasco,15/09
26,Botafogo,Corinthians,15/09
26,Palmeiras,Criciúma,15/09
26,Bragantino,Grêmio,15/09
26,Athletico-PR,Fortaleza,15/09
26,Atlético-GO,Vitória,15/09
26,Juventude,Fluminense,15/09
27,Grêmio,Flamengo,22/09
27,Atlético-MG,Bragantino,22/09
27,Vitória,Juventude,22/09
27,Fluminense,Botafogo,22/09
27,Vasco,Palmeiras,22/09
27,Corinthians,Atlético-GO,22/09
27,São Paulo,Internacional,22/09
27,Fortaleza,Bahia,22/09
27,Cuiabá,Cruzeiro,22/09
27,Criciúma,Athletico-PR,22/09
28,Internacional,Vitória,29/09
28,Cruzeiro,Vasco,29/09
28,Bahia,Criciúma,29/09
28,Flamengo,Athletico-PR,29/09
28,Botafogo,Grêmio,29/09
28,Palmeiras,Atlético-MG,29/09
28,São Paulo,Corinthians,29/09
28,Fortaleza,Cuiabá,29/09
28,Atlético-GO,Fluminense,29/09
28,Juventude,Bragantino,29/09
29,Grêmio,Fortaleza,05/10
29,Atlético-MG,Vitória,05/10
29,Bahia,Flamengo,05/10
29,Fluminense,Cruzeiro,05/10
29,Vasco,Juventude,05/10
29,Corinthians,Internacional,05/10
29,Bragantino,Palmeiras,05/10
29,Athletico-PR,Botafogo,05/10
29,Cuiabá,São Paulo,05/10
29,Criciúma,Atlético-GO,05/10
30,Internacional,Grêmio,20/10
30,Cruzeiro,Bahia,20/10
30,Vitória,Bragantino,20/10
30,Flamengo,Fluminense,20/10
30,Botafogo,Criciúma,20/10
30,Corinthians,Athletico-PR,20/10
30,São Paulo,Vasco,20/10
30,Fortaleza,Atlético-MG,20/10
30,Atlético-GO,Cuiabá,20/10
30,Juventude,Palmeiras,20/10
31,Grêmio,Atlético-GO,26/10
31,Atlético-MG,Internacional,26/10
31,Vitória,Fluminense,26/10
31,Flamengo,Juventude,26/10
31,Vasco,Bahia,26/10
31,Palmeiras,Fortaleza,26/10
31,Bragantino,Botafogo,26/10
31,Athletico-PR,Cruzeiro,26/10
31,Cuiabá,Corinthians,26/10
31,Criciúma,São Paulo,26/10
32,Internacional,Criciúma,06/11
32,Cruzeiro,Flamengo,06/11
32,Bahia,São Paulo,06/11
32,Fluminense,Grêmio,06/11
32,Botafogo,Vasco,06/11
32,Corinthians,Palmeiras,06/11
32,Bragantino,Cuiabá,06/11
32,Athletico-PR,Vitória,06/11
32,Atlético-GO,Atlético-MG,06/11
32,Juventude,Fortaleza,06/11
33,Internacional,Fluminense,13/11
33,Cruzeiro,Criciúma,13/11
33,Vitória,Corinthians,13/11
33,Flamengo,Atlético-MG,13/11
33,Botafogo,Cuiabá,13/11
33,Palmeiras,Grêmio,13/11
33,São Paulo,Athletico-PR,13/11
33,Fortaleza,Vasco,13/11
33,Atlético-GO,Bragantino,13/11
33,Juventude,Bahia,13/11
34,Grêmio,Juventude,20/11
34,Atlético-MG,Botafogo,20/11
34,Bahia,Palmeiras,20/11
34,Fluminense,Fortaleza,20/11
34,Vasco,Internacional,20/11
34,Corinthians,Cruzeiro,20/11
34,Bragantino,São Paulo,20/11
34,Athletico-PR,Atlético-GO,20/11
34,Cuiabá,Flamengo,20/11
34,Criciúma,Vitória,20/11
35,Internacional,Bragantino,24/11
35,Cruzeiro,Grêmio,24/11
35,Bahia,Athletico-PR,24/11
35,Fluminense,Criciúma,24/11
35,Botafogo,Vitória,24/11
35,Corinthians,Vasco,24/11
35,São Paulo,Atlético-MG,24/11
35,Fortaleza,Flamengo,24/11
35,Atlético-GO,Palmeiras,24/11
35,Juventude,Cuiabá,24/11
36,Grêmio,São Paulo,01/12
36,Atlético-MG,Juventude,01/12
36,Vitória,Fortaleza,01/12
36,Flamengo,Internacional,01/12
36,Vasco,Atlético-GO,01/12
36,Palmeiras,Botafogo,01/12
36,Bragantino,Cruzeiro,01/12
36,Athletico-PR,Fluminense,01/12
36,Cuiabá,Bahia,01/12
36,Criciúma,Corinthians,01/12
37,Internacional,Botafogo,04/12
37,Cruzeiro,Palmeiras,04/12
37,Vitória,Grêmio,04/12
37,Fluminense,Cuiabá,04/12
37,Vasco,Atlético-MG,04/12
37,Corinthians,Bahia,04/12
37,São Paulo,Juventude,04/12
37,Athletico-PR,Bragantino,04/12
37,Atlético-GO,Fortaleza,04/12
37,Criciúma,Flamengo,04/12
38,Grêmio,Corinthians,08/12
38,Atlético-MG,Athletico-PR,08/12
38,Bahia,Atlético-GO,08/12
38,Flamengo,Vitória,08/12
38,Botafogo,São Paulo,08/12
38,Palmeiras,Fluminense,08/12
38,Bragantino,Criciúma,08/12
38,Fortaleza,Internacional,08/12
38,Cuiabá,Vasco,08/12
38,Juventude,Cruzeiro,08/12
